Tipo Titulo;Data Vencimento;Data Base;Taxa Compra Manha;Taxa Venda Manha;PU Compra Manha;PU Venda Manha;PU Base Manha
Tesouro Selic;01/03/2029;02/01/2015;14,7918;14,9118;1.993,22;1.991,23;1.993,22
Tesouro Selic;01/03/2029;05/01/2015;14,6493;14,7693;1.980,88;1.978,90;1.980,88
Tesouro Selic;01/03/2029;06/01/2015;14,5818;14,7018;1.975,05;1.973,08;1.975,05
Tesouro Selic;01/03/2029;07/01/2015;14,4988;14,6188;1.967,91;1.965,94;1.967,91
Tesouro Selic;01/03/2029;08/01/2015;14,5697;14,6897;1.974,01;1.972,04;1.974,01
Tesouro Selic;01/03/2029;09/01/2015;14,6228;14,7428;1.978,58;1.976,60;1.978,58
Tesouro Selic;01/03/2029;12/01/2015;14,7404;14,8604;1.988,76;1.986,77;1.988,76
Tesouro Selic;01/03/2029;13/01/2015;14,6165;14,7365;1.978,04;1.976,06;1.978,04
Tesouro Selic;01/03/2029;14/01/2015;14,5931;14,7131;1.976,02;1.974,05;1.976,02
Tesouro Selic;01/03/2029;15/01/2015;14,4520;14,5720;1.963,89;1.961,93;1.963,89
Tesouro Selic;01/03/2029;16/01/2015;14,3676;14,4876;1.956,66;1.954,70;1.956,66
Tesouro Selic;01/03/2029;19/01/2015;14,3692;14,4892;1.956,80;1.954,84;1.956,80
Tesouro Selic;01/03/2029;20/01/2015;14,2272;14,3472;1.944,67;1.942,73;1.944,67
Tesouro Selic;01/03/2029;21/01/2015;14,1368;14,2568;1.937,00;1.935,06;1.937,00
Tesouro Selic;01/03/2029;22/01/2015;14,1818;14,3018;1.940,81;1.938,87;1.940,81
Tesouro Selic;01/03/2029;23/01/2015;14,1953;14,3153;1.941,96;1.940,02;1.941,96
Tesouro Selic;01/03/2029;26/01/2015;14,1114;14,2314;1.934,84;1.932,91;1.934,84
Tesouro Selic;01/03/2029;27/01/2015;14,1382;14,2582;1.937,11;1.935,17;1.937,11
Tesouro Selic;01/03/2029;28/01/2015;14,2310;14,3510;1.945,00;1.943,06;1.945,00
Tesouro Selic;01/03/2029;29/01/2015;14,0830;14,2030;1.932,43;1.930,50;1.932,43
Tesouro Selic;01/03/2029;30/01/2015;14,1747;14,2947;1.940,21;1.938,27;1.940,21
Tesouro Selic;01/03/2029;02/02/2015;14,2341;14,3541;1.945,27;1.943,32;1.945,27
Tesouro Selic;01/03/2029;03/02/2015;14,1862;14,3062;1.941,19;1.939,25;1.941,19
Tesouro Selic;01/03/2029;04/02/2015;14,0829;14,2029;1.932,42;1.930,49;1.932,42
Tesouro Selic;01/03/2029;05/02/2015;14,2200;14,3400;1.944,07;1.942,12;1.944,07
Tesouro Selic;01/03/2029;06/02/2015;14,1710;14,2910;1.939,90;1.937,96;1.939,90
Tesouro Selic;01/03/2029;09/02/2015;14,0488;14,1688;1.929,54;1.927,61;1.929,54
Tesouro Selic;01/03/2029;10/02/2015;13,9278;14,0478;1.919,33;1.917,41;1.919,33
Tesouro Selic;01/03/2029;11/02/2015;14,0321;14,1521;1.928,13;1.926,20;1.928,13
Tesouro Selic;01/03/2029;12/02/2015;14,0632;14,1832;1.930,76;1.928,83;1.930,76
Tesouro Selic;01/03/2029;13/02/2015;14,1553;14,2753;1.938,57;1.936,63;1.938,57
Tesouro Selic;01/03/2029;16/02/2015;14,2243;14,3443;1.944,43;1.942,48;1.944,43
Tesouro Selic;01/03/2029;17/02/2015;14,2351;14,3551;1.945,35;1.943,41;1.945,35
Tesouro Selic;01/03/2029;18/02/2015;14,3771;14,4971;1.957,47;1.955,51;1.957,47
Tesouro Selic;01/03/2029;19/02/2015;14,3406;14,4606;1.954,35;1.952,40;1.954,35
Tesouro Selic;01/03/2029;20/02/2015;14,3562;14,4762;1.955,69;1.953,73;1.955,69
Tesouro Selic;01/03/2029;23/02/2015;14,4551;14,5751;1.964,15;1.962,19;1.964,15
Tesouro Selic;01/03/2029;24/02/2015;14,4906;14,6106;1.967,20;1.965,24;1.967,20
Tesouro Selic;01/03/2029;25/02/2015;14,5991;14,7191;1.976,54;1.974,57;1.976,54
Tesouro Selic;01/03/2029;26/02/2015;14,6223;14,7423;1.978,55;1.976,57;1.978,55
Tesouro Selic;01/03/2029;27/02/2015;14,6837;14,8037;1.983,85;1.981,87;1.983,85
Tesouro Selic;01/03/2029;02/03/2015;14,5475;14,6675;1.972,09;1.970,12;1.972,09
Tesouro Selic;01/03/2029;03/03/2015;14,4658;14,5858;1.965,08;1.963,11;1.965,08
Tesouro Selic;01/03/2029;04/03/2015;14,4026;14,5226;1.959,66;1.957,70;1.959,66
Tesouro Selic;01/03/2029;05/03/2015;14,2766;14,3966;1.948,88;1.946,94;1.948,88
Tesouro Selic;01/03/2029;06/03/2015;14,1964;14,3164;1.942,06;1.940,12;1.942,06
Tesouro Selic;01/03/2029;09/03/2015;14,0767;14,1967;1.931,90;1.929,97;1.931,90
Tesouro Selic;01/03/2029;10/03/2015;14,0101;14,1301;1.926,27;1.924,34;1.926,27
Tesouro Selic;01/03/2029;11/03/2015;14,0508;14,1708;1.929,71;1.927,78;1.929,71
Tesouro Selic;01/03/2029;12/03/2015;14,0103;14,1303;1.926,28;1.924,36;1.926,28
Tesouro Selic;01/03/2029;13/03/2015;13,9713;14,0913;1.922,99;1.921,07;1.922,99
Tesouro Selic;01/03/2029;16/03/2015;13,8842;14,0042;1.915,65;1.913,74;1.915,65
Tesouro Selic;01/03/2029;17/03/2015;13,8143;13,9343;1.909,78;1.907,87;1.909,78
Tesouro Selic;01/03/2029;18/03/2015;13,9453;14,0653;1.920,80;1.918,88;1.920,80
Tesouro Selic;01/03/2029;19/03/2015;13,9897;14,1097;1.924,54;1.922,62;1.924,54
Tesouro Selic;01/03/2029;20/03/2015;14,0224;14,1424;1.927,31;1.925,38;1.927,31
Tesouro Selic;01/03/2029;23/03/2015;13,9238;14,0438;1.918,98;1.917,07;1.918,98
Tesouro Selic;01/03/2029;24/03/2015;13,9925;14,1125;1.924,78;1.922,86;1.924,78
Tesouro Selic;01/03/2029;25/03/2015;13,8915;14,0115;1.916,27;1.914,35;1.916,27
Tesouro Selic;01/03/2029;26/03/2015;13,8553;13,9753;1.913,23;1.911,32;1.913,23
Tesouro Selic;01/03/2029;27/03/2015;14,0022;14,1222;1.925,60;1.923,68;1.925,60
Tesouro Selic;01/03/2029;30/03/2015;14,0442;14,1642;1.929,15;1.927,22;1.929,15
Tesouro Selic;01/03/2029;31/03/2015;14,0613;14,1813;1.930,60;1.928,67;1.930,60
Tesouro Selic;01/03/2029;01/04/2015;14,1167;14,2367;1.935,29;1.933,35;1.935,29
Tesouro Selic;01/03/2029;02/04/2015;14,2195;14,3395;1.944,02;1.942,08;1.944,02
Tesouro Selic;01/03/2029;03/04/2015;14,3023;14,4223;1.951,08;1.949,13;1.951,08
Tesouro Selic;01/03/2029;06/04/2015;14,2210;14,3410;1.944,15;1.942,21;1.944,15
Tesouro Selic;01/03/2029;07/04/2015;14,0807;14,2007;1.932,24;1.930,30;1.932,24
Tesouro Selic;01/03/2029;08/04/2015;14,0253;14,1453;1.927,55;1.925,63;1.927,55
Tesouro Selic;01/03/2029;09/04/2015;13,9556;14,0756;1.921,67;1.919,75;1.921,67
Tesouro Selic;01/03/2029;10/04/2015;13,8689;13,9889;1.914,37;1.912,46;1.914,37
Tesouro Selic;01/03/2029;13/04/2015;14,0018;14,1218;1.925,57;1.923,64;1.925,57
Tesouro Selic;01/03/2029;14/04/2015;14,1147;14,2347;1.935,12;1.933,19;1.935,12
Tesouro Selic;01/03/2029;15/04/2015;14,0591;14,1791;1.930,41;1.928,48;1.930,41
Tesouro Selic;01/03/2029;16/04/2015;14,1057;14,2257;1.934,36;1.932,43;1.934,36
Tesouro Selic;01/03/2029;17/04/2015;14,0744;14,1944;1.931,71;1.929,78;1.931,71
Tesouro Selic;01/03/2029;20/04/2015;14,1988;14,3188;1.942,26;1.940,32;1.942,26
Tesouro Selic;01/03/2029;21/04/2015;14,1865;14,3065;1.941,21;1.939,27;1.941,21
Tesouro Selic;01/03/2029;22/04/2015;14,1159;14,2359;1.935,22;1.933,29;1.935,22
Tesouro Selic;01/03/2029;23/04/2015;14,0399;14,1599;1.928,79;1.926,86;1.928,79
Tesouro Selic;01/03/2029;24/04/2015;14,0583;14,1783;1.930,34;1.928,41;1.930,34
Tesouro Selic;01/03/2029;27/04/2015;13,9871;14,1071;1.924,33;1.922,40;1.924,33
Tesouro Selic;01/03/2029;28/04/2015;14,0125;14,1325;1.926,47;1.924,55;1.926,47
Tesouro Selic;01/03/2029;29/04/2015;14,1319;14,2519;1.936,58;1.934,64;1.936,58
Tesouro Selic;01/03/2029;30/04/2015;14,1017;14,2217;1.934,02;1.932,08;1.934,02
Tesouro Selic;01/03/2029;01/05/2015;14,0175;14,1375;1.926,89;1.924,96;1.926,89
Tesouro Selic;01/03/2029;04/05/2015;14,1667;14,2867;1.939,54;1.937,60;1.939,54
Tesouro Selic;01/03/2029;05/05/2015;14,1696;14,2896;1.939,78;1.937,84;1.939,78
Tesouro Selic;01/03/2029;06/05/2015;14,0469;14,1669;1.929,38;1.927,45;1.929,38
Tesouro Selic;01/03/2029;07/05/2015;13,9110;14,0310;1.917,91;1.915,99;1.917,91
Tesouro Selic;01/03/2029;08/05/2015;13,7939;13,9139;1.908,07;1.906,16;1.908,07
Tesouro Selic;01/03/2029;11/05/2015;13,8321;13,9521;1.911,28;1.909,37;1.911,28
Tesouro Selic;01/03/2029;12/05/2015;13,9198;14,0398;1.918,65;1.916,73;1.918,65
Tesouro Selic;01/03/2029;13/05/2015;13,8964;14,0164;1.916,68;1.914,77;1.916,68
Tesouro Selic;01/03/2029;14/05/2015;13,7655;13,8855;1.905,69;1.903,78;1.905,69
Tesouro Selic;01/03/2029;15/05/2015;13,7299;13,8499;1.902,72;1.900,81;1.902,72
Tesouro Selic;01/03/2029;18/05/2015;13,8788;13,9988;1.915,20;1.913,28;1.915,20
Tesouro Selic;01/03/2029;19/05/2015;13,8875;14,0075;1.915,93;1.914,02;1.915,93
Tesouro Selic;01/03/2029;20/05/2015;14,0288;14,1488;1.927,85;1.925,92;1.927,85
Tesouro Selic;01/03/2029;21/05/2015;14,1371;14,2571;1.937,02;1.935,08;1.937,02
Tesouro Selic;01/03/2029;22/05/2015;13,9905;14,1105;1.924,61;1.922,69;1.924,61
Tesouro Selic;01/03/2029;25/05/2015;14,0567;14,1767;1.930,21;1.928,28;1.930,21
Tesouro Selic;01/03/2029;26/05/2015;14,1113;14,2313;1.934,83;1.932,89;1.934,83
Tesouro Selic;01/03/2029;27/05/2015;14,1223;14,2423;1.935,77;1.933,83;1.935,77
Tesouro Selic;01/03/2029;28/05/2015;14,0524;14,1724;1.929,84;1.927,91;1.929,84
Tesouro Selic;01/03/2029;29/05/2015;14,0947;14,2147;1.933,42;1.931,49;1.933,42
Tesouro Selic;01/03/2029;01/06/2015;13,9781;14,0981;1.923,57;1.921,65;1.923,57
Tesouro Selic;01/03/2029;02/06/2015;13,9586;14,0786;1.921,92;1.920,00;1.921,92
Tesouro Selic;01/03/2029;03/06/2015;13,9447;14,0647;1.920,75;1.918,83;1.920,75
Tesouro Selic;01/03/2029;04/06/2015;14,0808;14,2008;1.932,25;1.930,32;1.932,25
Tesouro Selic;01/03/2029;05/06/2015;14,1936;14,3136;1.941,82;1.939,88;1.941,82
Tesouro Selic;01/03/2029;08/06/2015;14,1226;14,2426;1.935,79;1.933,86;1.935,79
Tesouro Selic;01/03/2029;09/06/2015;14,1228;14,2428;1.935,81;1.933,87;1.935,81
Tesouro Selic;01/03/2029;10/06/2015;14,0264;14,1464;1.927,64;1.925,72;1.927,64
Tesouro Selic;01/03/2029;11/06/2015;14,1502;14,2702;1.938,13;1.936,19;1.938,13
Tesouro Selic;01/03/2029;12/06/2015;14,2613;14,3813;1.947,58;1.945,64;1.947,58
Tesouro Selic;01/03/2029;15/06/2015;14,2009;14,3209;1.942,44;1.940,49;1.942,44
Tesouro Selic;01/03/2029;16/06/2015;14,2425;14,3625;1.945,98;1.944,04;1.945,98
Tesouro Selic;01/03/2029;17/06/2015;14,2752;14,3952;1.948,77;1.946,82;1.948,77
Tesouro Selic;01/03/2029;18/06/2015;14,1711;14,2911;1.939,91;1.937,97;1.939,91
Tesouro Selic;01/03/2029;19/06/2015;14,2498;14,3698;1.946,61;1.944,66;1.946,61
Tesouro Selic;01/03/2029;22/06/2015;14,2617;14,3817;1.947,61;1.945,66;1.947,61
Tesouro Selic;01/03/2029;23/06/2015;14,3452;14,4652;1.954,75;1.952,79;1.954,75
Tesouro Selic;01/03/2029;24/06/2015;14,3543;14,4743;1.955,52;1.953,57;1.955,52
Tesouro Selic;01/03/2029;25/06/2015;14,2045;14,3245;1.942,75;1.940,80;1.942,75
Tesouro Selic;01/03/2029;26/06/2015;14,1518;14,2718;1.938,26;1.936,33;1.938,26
Tesouro Selic;01/03/2029;29/06/2015;14,0076;14,1276;1.926,06;1.924,13;1.926,06
Tesouro Selic;01/03/2029;30/06/2015;14,1363;14,2563;1.936,96;1.935,02;1.936,96
Tesouro Selic;01/03/2029;01/07/2015;14,2500;14,3700;1.946,62;1.944,67;1.946,62
Tesouro Selic;01/03/2029;02/07/2015;14,3495;14,4695;1.955,11;1.953,15;1.955,11
Tesouro Selic;01/03/2029;03/07/2015;14,2917;14,4117;1.950,18;1.948,22;1.950,18
Tesouro Selic;01/03/2029;06/07/2015;14,1591;14,2791;1.938,89;1.936,95;1.938,89
Tesouro Selic;01/03/2029;07/07/2015;14,2725;14,3925;1.948,54;1.946,59;1.948,54
Tesouro Selic;01/03/2029;08/07/2015;14,4066;14,5266;1.959,99;1.958,03;1.959,99
Tesouro Selic;01/03/2029;09/07/2015;14,2823;14,4023;1.949,37;1.947,42;1.949,37
